canonical_party,unique_speeches,in_joe_list,joe_en_name,joe_abbrv
自由民主党,2880,True,Liberal Democratic Party,LDP
立憲民主党,1116,True,Constitutional Democratic Party,CDP
無所属の会,929,False,,
国民民主党,778,True,Democratic Party For the People,DPP
日本維新の会,689,True,Japan Innovation Party,JIP
日本共産党,661,True,Japanese Communist Party,JCP
公明党,655,True,Komeito,NKP
新緑風会,616,False,,
無所属クラブ,597,False,,
無所属,372,False,,
民進党,300,False,,
社会民主党,285,True,Social Democratic Party,SDP
民主党,210,False,,
無所属フォーラム,204,False,,
民友会,202,False,,
国民の声,194,False,,
市民クラブ,170,False,,
教育無償化を実現する会,145,False,,
各派に属しない議員,128,False,,
沖縄の風,120,False,,
社保,89,False,,
希望の党,80,False,,
希望の会,67,False,,
希望の会（自由,59,False,,
社民）,59,False,,
立憲,53,False,,
こころ,52,False,,
みんなの党,38,False,,
維新の党,28,False,,
おおさか維新の会,26,False,,
次世代の党,24,False,,
生活の党,21,False,,
護憲連合,20,False,,
結いの党,15,False,,
有志の会,13,False,,
新党改革,11,False,,
たちあがれ日本,11,False,,
市民連合,10,False,,
生活の党と山本太郎となかまたち,10,False,,
社会保障を立て直す国民会議,7,False,,
ＮＨＫから国民を守る党,7,False,,
国民新党,5,False,,
碧水会,4,False,,
日本のこころを大切にする党,4,False,,
