year,parties_canonical,joe_en_name,joe_abbrv,count
2012,民主党,,,25
2012,無所属クラブ,,,18
2012,無所属の会,,,14
2012,自由民主党,Liberal Democratic Party,LDP,14
2012,たちあがれ日本,,,11
2012,新緑風会,,,7
2012,公明党,Komeito,NKP,2
2012,国民新党,,,2
2012,みんなの党,,,1
2013,自由民主党,Liberal Democratic Party,LDP,35
2013,みんなの党,,,16
2013,日本維新の会,Japan Innovation Party,JIP,14
2013,民主党,,,10
2013,無所属クラブ,,,6
2013,新緑風会,,,4
2013,無所属の会,,,3
2013,公明党,Komeito,NKP,2
2014,自由民主党,Liberal Democratic Party,LDP,139
2014,民主党,,,88
2014,無所属クラブ,,,49
2014,日本共産党,Japanese Communist Party,JCP,40
2014,新緑風会,,,39
2014,公明党,Komeito,NKP,34
2014,日本維新の会,Japan Innovation Party,JIP,32
2014,生活の党,,,21
2014,みんなの党,,,17
2014,結いの党,,,15
2014,新党改革,,,11
2014,無所属の会,,,11
2014,社会民主党,Social Democratic Party,SDP,10
2014,護憲連合,,,10
2014,次世代の党,,,7
2014,各派に属しない議員,,,5
2014,維新の党,,,3
2014,無所属,,,2
2015,自由民主党,Liberal Democratic Party,LDP,125
2015,民主党,,,53
2015,無所属クラブ,,,38
2015,維新の党,,,23
2015,日本共産党,Japanese Communist Party,JCP,21
2015,次世代の党,,,17
2015,新緑風会,,,16
2015,公明党,Komeito,NKP,12
2015,社会民主党,Social Democratic Party,SDP,10
2015,護憲連合,,,10
2015,生活の党と山本太郎となかまたち,,,9
2015,無所属,,,4
2015,国民新党,,,3
2015,無所属の会,,,1
2016,自由民主党,Liberal Democratic Party,LDP,325
2016,民進党,,,219
2016,無所属クラブ,,,183
2016,日本共産党,Japanese Communist Party,JCP,108
2016,無所属の会,,,102
2016,公明党,Komeito,NKP,92
2016,新緑風会,,,74
2016,日本維新の会,Japan Innovation Party,JIP,68
2016,民主党,,,34
2016,おおさか維新の会,,,26
2016,各派に属しない議員,,,26
2016,沖縄の風,,,24
2016,希望の会（自由,,,7
2016,社民）,,,7
2016,無所属,,,6
2016,日本のこころを大切にする党,,,4
2016,維新の党,,,2
2016,生活の党と山本太郎となかまたち,,,1
2017,自由民主党,Liberal Democratic Party,LDP,135
2017,無所属の会,,,94
2017,民進党,,,67
2017,無所属クラブ,,,58
2017,日本維新の会,Japan Innovation Party,JIP,52
2017,こころ,,,24
2017,希望の会（自由,,,24
2017,社民）,,,24
2017,公明党,Komeito,NKP,22
2017,日本共産党,Japanese Communist Party,JCP,14
2017,新緑風会,,,12
2017,各派に属しない議員,,,7
2017,沖縄の風,,,3
2017,希望の党,,,2
2017,市民クラブ,,,1
2017,立憲民主党,Constitutional Democratic Party,CDP,1
2018,自由民主党,Liberal Democratic Party,LDP,756
2018,立憲民主党,Constitutional Democratic Party,CDP,310
2018,国民民主党,Democratic Party For the People,DPP,261
2018,日本共産党,Japanese Communist Party,JCP,191
2018,市民クラブ,,,169
2018,新緑風会,,,158
2018,民友会,,,135
2018,公明党,Komeito,NKP,127
2018,無所属クラブ,,,123
2018,日本維新の会,Japan Innovation Party,JIP,112
2018,各派に属しない議員,,,71
2018,国民の声,,,61
2018,沖縄の風,,,41
2018,こころ,,,28
2018,希望の会（自由,,,28
2018,無所属の会,,,28
2018,社民）,,,28
2018,民進党,,,14
2018,希望の党,,,13
2018,無所属,,,5
2019,自由民主党,Liberal Democratic Party,LDP,425
2019,国民民主党,Democratic Party For the People,DPP,219
2019,立憲民主党,Constitutional Democratic Party,CDP,217
2019,無所属フォーラム,,,150
2019,日本共産党,Japanese Communist Party,JCP,136
2019,新緑風会,,,109
2019,日本維新の会,Japan Innovation Party,JIP,101
2019,公明党,Komeito,NKP,90
2019,無所属クラブ,,,75
2019,国民の声,,,72
2019,希望の会,,,67
2019,民友会,,,67
2019,希望の党,,,62
2019,無所属の会,,,35
2019,社保,,,35
2019,沖縄の風,,,30
2019,社会民主党,Social Democratic Party,SDP,19
2019,市民連合,,,10
2019,立憲,,,9
2019,社会保障を立て直す国民会議,,,7
2019,碧水会,,,1
2020,自由民主党,Liberal Democratic Party,LDP,125
2020,国民民主党,Democratic Party For the People,DPP,108
2020,無所属の会,,,106
2020,立憲民主党,Constitutional Democratic Party,CDP,72
2020,社会民主党,Social Democratic Party,SDP,62
2020,無所属フォーラム,,,54
2020,社保,,,54
2020,新緑風会,,,51
2020,立憲,,,44
2020,国民の声,,,34
2020,日本維新の会,Japan Innovation Party,JIP,30
2020,公明党,Komeito,NKP,26
2020,日本共産党,Japanese Communist Party,JCP,21
2020,無所属,,,10
2020,みんなの党,,,3
2020,希望の党,,,3
2020,無所属クラブ,,,3
2020,沖縄の風,,,2
2020,碧水会,,,1
2021,自由民主党,Liberal Democratic Party,LDP,112
2021,無所属の会,,,96
2021,立憲民主党,Constitutional Democratic Party,CDP,69
2021,無所属,,,44
2021,社会民主党,Social Democratic Party,SDP,28
2021,国民民主党,Democratic Party For the People,DPP,25
2021,公明党,Komeito,NKP,23
2021,日本共産党,Japanese Communist Party,JCP,22
2021,新緑風会,,,20
2021,国民の声,,,14
2021,日本維新の会,Japan Innovation Party,JIP,8
2021,無所属クラブ,,,5
2021,みんなの党,,,1
2022,自由民主党,Liberal Democratic Party,LDP,131
2022,立憲民主党,Constitutional Democratic Party,CDP,71
2022,国民民主党,Democratic Party For the People,DPP,50
2022,新緑風会,,,45
2022,無所属,,,45
2022,日本維新の会,Japan Innovation Party,JIP,32
2022,公明党,Komeito,NKP,30
2022,社会民主党,Social Democratic Party,SDP,26
2022,沖縄の風,,,20
2022,国民の声,,,13
2022,日本共産党,Japanese Communist Party,JCP,6
2022,無所属クラブ,,,5
2022,有志の会,,,2
2022,碧水会,,,2
2022,各派に属しない議員,,,1
2023,自由民主党,Liberal Democratic Party,LDP,162
2023,立憲民主党,Constitutional Democratic Party,CDP,135
2023,無所属の会,,,127
2023,日本維新の会,Japan Innovation Party,JIP,90
2023,無所属,,,88
2023,公明党,Komeito,NKP,75
2023,国民民主党,Democratic Party For the People,DPP,54
2023,社会民主党,Social Democratic Party,SDP,51
2023,新緑風会,,,31
2023,無所属クラブ,,,23
2023,日本共産党,Japanese Communist Party,JCP,16
2023,各派に属しない議員,,,5
2023,れいわ新選組,Reiwa Shinsengumi,,2
2023,有志の会,,,2
2024,自由民主党,Liberal Democratic Party,LDP,396
2024,無所属の会,,,312
2024,立憲民主党,Constitutional Democratic Party,CDP,241
2024,無所属,,,168
2024,日本維新の会,Japan Innovation Party,JIP,150
2024,教育無償化を実現する会,,,145
2024,公明党,Komeito,NKP,120
2024,日本共産党,Japanese Communist Party,JCP,86
2024,社会民主党,Social Democratic Party,SDP,79
2024,国民民主党,Democratic Party For the People,DPP,61
2024,新緑風会,,,50
2024,各派に属しない議員,,,13
2024,無所属クラブ,,,11
2024,有志の会,,,9
2024,ＮＨＫから国民を守る党,,,7
2024,参政党,Sanseito,DIY,2
2024,日本保守党,Conservative Party of Japan,CPJ,1
