raw_speaker_group,canonical_party,in_joe_list,joe_en_name,joe_abbrv
おおさか維新の会,おおさか維新の会,False,,
みんなの党,みんなの党,False,,
れいわ新選組,れいわ新選組,True,Reiwa Shinsengumi,
公明党,公明党,True,Komeito,NKP
参政党,参政党,True,Sanseito,DIY
各派に属しない議員,各派に属しない議員,False,,
国民新党・新党日本,国民新党,False,,
国民新党・新党日本,新党日本,False,,
国民民主党・新緑風会,国民民主党,True,Democratic Party For the People,DPP
国民民主党・新緑風会,新緑風会,False,,
国民民主党・無所属クラブ,国民民主党,True,Democratic Party For the People,DPP
国民民主党・無所属クラブ,無所属クラブ,False,,
希望の会（自由・社民）,希望の会（自由,False,,
希望の会（自由・社民）,社民）,False,,
希望の党,希望の党,False,,
希望の党・無所属クラブ,希望の党,False,,
希望の党・無所属クラブ,無所属クラブ,False,,
新党改革・無所属の会,新党改革,False,,
新党改革・無所属の会,無所属の会,False,,
日本のこころ,日本のこころ,False,,
日本のこころを大切にする党,日本のこころを大切にする党,False,,
日本を元気にする会・無所属会,日本を元気にする会,False,,
日本を元気にする会・無所属会,無所属の会,False,,
日本保守党,日本保守党,True,Conservative Party of Japan,CPJ
日本共産党,日本共産党,True,Japanese Communist Party,JCP
日本維新の会,日本維新の会,True,Japan Innovation Party,JIP
日本維新の会・希望の党,日本維新の会,True,Japan Innovation Party,JIP
日本維新の会・希望の党,希望の党,False,,
日本維新の会・教育無償化を実現する会,日本維新の会,True,Japan Innovation Party,JIP
日本維新の会・教育無償化を実現する会,教育無償化を実現する会,False,,
日本維新の会・無所属の会,日本維新の会,True,Japan Innovation Party,JIP
日本維新の会・無所属の会,無所属の会,False,,
日本維新の会・結いの党,日本維新の会,True,Japan Innovation Party,JIP
日本維新の会・結いの党,結いの党,False,,
有志の会,有志の会,False,,
未来日本,未来日本,False,,
次世代の党,次世代の党,False,,
民主・維新・無所属クラブ,民主党,False,,
民主・維新・無所属クラブ,日本維新の会,True,Japan Innovation Party,JIP
民主・維新・無所属クラブ,無所属クラブ,False,,
民主党・新緑風会,民主党,False,,
民主党・新緑風会,新緑風会,False,,
民主党・無所属クラブ,民主党,False,,
民主党・無所属クラブ,無所属クラブ,False,,
民主党・無所属クラブ・国民新党,民主党,False,,
民主党・無所属クラブ・国民新党,無所属クラブ,False,,
民主党・無所属クラブ・国民新党,国民新党,False,,
民進党・新緑風会,民進党,False,,
民進党・新緑風会,新緑風会,False,,
民進党・無所属クラブ,民進党,False,,
民進党・無所属クラブ,無所属クラブ,False,,
沖縄の風,沖縄の風,False,,
無所属,無所属,False,,
無所属の会,無所属の会,False,,
無所属クラブ,無所属クラブ,False,,
生活の党,生活の党,False,,
生活の党と山本太郎となかまたち,生活の党と山本太郎となかまたち,False,,
碧水会,碧水会,False,,
社会保障を立て直す国民会議,社会保障を立て直す国民会議,False,,
社会民主党・市民連合,社会民主党,True,Social Democratic Party,SDP
社会民主党・市民連合,市民連合,False,,
社会民主党・護憲連合,社会民主党,True,Social Democratic Party,SDP
社会民主党・護憲連合,護憲連合,False,,
立憲・国民．新緑風会・社民,立憲,False,,
立憲・国民．新緑風会・社民,国民民主党,True,Democratic Party For the People,DPP
立憲・国民．新緑風会・社民,新緑風会,False,,
立憲・国民．新緑風会・社民,社会民主党,True,Social Democratic Party,SDP
立憲民主・国民・社保・無所属フォーラム,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主・国民・社保・無所属フォーラム,国民民主党,True,Democratic Party For the People,DPP
立憲民主・国民・社保・無所属フォーラム,社保,False,,
立憲民主・国民・社保・無所属フォーラム,無所属フォーラム,False,,
立憲民主・社民,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主・社民,社会民主党,True,Social Democratic Party,SDP
立憲民主・社民・無所属,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主・社民・無所属,社会民主党,True,Social Democratic Party,SDP
立憲民主・社民・無所属,無所属,False,,
立憲民主党,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・市民クラブ,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・市民クラブ,市民クラブ,False,,
立憲民主党・民友会,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・民友会,民友会,False,,
立憲民主党・民友会・希望の会,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・民友会・希望の会,民友会,False,,
立憲民主党・民友会・希望の会,希望の会,False,,
立憲民主党・無所属,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・無所属,無所属,False,,
立憲民主党・無所属フォーラム,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・無所属フォーラム,無所属フォーラム,False,,
立憲民主党・社民・無所属,立憲民主党,True,Constitutional Democratic Party,CDP
立憲民主党・社民・無所属,社会民主党,True,Social Democratic Party,SDP
立憲民主党・社民・無所属,無所属,False,,
結いの党,結いの党,False,,
維新の党,維新の党,False,,
自由民主党,自由民主党,True,Liberal Democratic Party,LDP
自由民主党・こころ,自由民主党,True,Liberal Democratic Party,LDP
自由民主党・こころ,こころ,False,,
自由民主党・たちあがれ日本・無所属の会,自由民主党,True,Liberal Democratic Party,LDP
自由民主党・たちあがれ日本・無所属の会,たちあがれ日本,False,,
自由民主党・たちあがれ日本・無所属の会,無所属の会,False,,
自由民主党・国民の声,自由民主党,True,Liberal Democratic Party,LDP
自由民主党・国民の声,国民の声,False,,
自由民主党・無所属の会,自由民主党,True,Liberal Democratic Party,LDP
自由民主党・無所属の会,無所属の会,False,,
ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,False,,
